batch_index,train_step,train_steps,mini_batch_size,loss,entropy,kl,explained_var_old,explained_var_new,episode_len,data_buffer_size
1,0,12,32,7.220192,4.795788,0.001971,0.000589,0.000000,49,392
1,1,12,32,6.418530,4.793858,0.001065,0.000000,0.000000,49,392
1,2,12,32,5.749497,4.790075,0.001401,0.000000,0.000000,49,392
1,3,12,32,5.517819,4.783427,0.001331,0.000000,0.000000,49,392
1,4,12,32,5.537829,4.774909,0.000578,0.000000,0.000000,49,392
1,5,12,32,5.398642,4.772230,0.000669,0.000000,0.000000,49,392
1,6,12,32,5.477353,4.769988,0.000698,0.000000,0.000000,49,392
1,7,12,32,5.479788,4.769665,0.000637,0.000000,0.000000,49,392
1,8,12,32,5.394011,4.769402,0.000658,0.000000,0.000000,49,392
1,9,12,32,5.407866,4.769117,0.000592,0.000000,0.000000,49,392
1,10,12,32,5.427846,4.769158,0.000544,0.000000,0.000000,49,392
1,11,12,32,5.412213,4.769981,0.000500,0.000000,0.000000,49,392
2,0,24,32,5.408394,4.770751,0.000444,0.000000,0.000000,49,784
2,1,24,32,5.534405,4.771502,0.000433,0.000000,0.000000,49,784
2,2,24,32,5.317798,4.773540,0.000472,0.000000,0.000000,49,784
2,3,24,32,5.344808,4.774759,0.000455,0.000000,0.000000,49,784
2,4,24,32,5.451872,4.776037,0.000487,0.000000,0.000000,49,784
2,5,24,32,5.258952,4.777479,0.000477,0.000000,0.000000,49,784
2,6,24,32,5.353215,4.777993,0.000420,0.000000,0.000000,49,784
2,7,24,32,5.284639,4.778216,0.000373,0.000000,0.000000,49,784
2,8,24,32,5.283479,4.778450,0.000371,0.000000,0.000000,49,784
2,9,24,32,5.294789,4.778270,0.000357,0.000000,0.000000,49,784
2,10,24,32,5.337534,4.777652,0.000301,0.000000,0.000000,49,784
2,11,24,32,5.283656,4.777213,0.000278,0.000000,0.000000,49,784
2,12,24,32,5.331651,4.776766,0.000253,0.000000,0.000000,49,784
2,13,24,32,5.298207,4.776588,0.000231,0.000000,0.000000,49,784
2,14,24,32,5.176025,4.776213,0.000224,0.000000,0.000000,49,784
2,15,24,32,5.189163,4.775587,0.000190,0.000000,0.000000,49,784
2,16,24,32,5.255850,4.775416,0.000180,0.000000,0.000000,49,784
2,17,24,32,5.159061,4.775447,0.000203,0.000000,0.000000,49,784
2,18,24,32,5.237664,4.775730,0.000218,0.000000,0.000000,49,784
2,19,24,32,5.235359,4.776703,0.000235,0.000000,0.000000,49,784
2,20,24,32,5.191970,4.777761,0.000225,0.000000,0.000000,49,784
2,21,24,32,5.158249,4.778609,0.000229,0.000000,0.000000,49,784
2,22,24,32,5.182771,4.779279,0.000279,0.000000,0.000000,49,784
2,23,24,32,5.147430,4.779952,0.000276,0.000000,0.000000,49,784
3,0,32,32,5.179122,4.780243,0.000253,0.000000,0.000000,31,1032
3,1,32,32,5.140608,4.780449,0.000194,0.000000,0.000000,31,1032
3,2,32,32,5.165364,4.780549,0.000145,0.000000,0.000000,31,1032
3,3,32,32,5.172555,4.780837,0.000108,0.000000,0.000000,31,1032
3,4,32,32,5.118107,4.781306,0.000103,0.000000,0.000000,31,1032
3,5,32,32,5.120073,4.781582,0.000133,0.000000,0.000000,31,1032
3,6,32,32,5.176435,4.782106,0.000140,0.000000,0.000000,31,1032
3,7,32,32,5.115973,4.782805,0.000166,0.000000,0.000000,31,1032
3,8,32,32,5.089467,4.783226,0.000178,0.000000,0.000000,31,1032
3,9,32,32,5.121234,4.783503,0.000183,0.000000,0.000000,31,1032
3,10,32,32,5.151160,4.783602,0.000184,0.000000,0.000000,31,1032
3,11,32,32,5.074251,4.783695,0.000205,0.000000,0.000000,31,1032
3,12,32,32,5.103953,4.783258,0.000179,0.000000,0.000000,31,1032
3,13,32,32,5.081576,4.782866,0.000154,0.000000,0.000000,31,1032
3,14,32,32,5.093366,4.782272,0.000147,0.000000,0.000000,31,1032
3,15,32,32,5.069224,4.781702,0.000147,0.000000,0.000000,31,1032
3,16,32,32,5.058391,4.781180,0.000138,0.000000,0.000000,31,1032
3,17,32,32,5.060478,4.780964,0.000131,0.000000,0.000000,31,1032
3,18,32,32,5.096176,4.780784,0.000125,0.000000,0.000000,31,1032
3,19,32,32,5.066557,4.780900,0.000125,0.000000,0.000000,31,1032
3,20,32,32,5.047421,4.780925,0.000122,0.000000,0.000000,31,1032
3,21,32,32,5.047224,4.781336,0.000129,0.000000,0.000000,31,1032
3,22,32,32,4.999606,4.781556,0.000173,0.000000,0.000000,31,1032
3,23,32,32,5.059268,4.781690,0.000147,0.000000,0.000000,31,1032
3,24,32,32,5.076122,4.781901,0.000143,0.000000,0.000000,31,1032
3,25,32,32,5.061075,4.782262,0.000127,0.000000,0.000000,31,1032
3,26,32,32,5.026093,4.782667,0.000122,0.000000,0.000000,31,1032
3,27,32,32,5.061601,4.782985,0.000129,0.000000,0.000000,31,1032
3,28,32,32,5.064611,4.783218,0.000168,0.000000,0.000004,31,1032
3,29,32,32,5.030158,4.783975,0.000141,0.004012,0.009073,31,1032
3,30,32,32,5.030452,4.784187,0.000114,0.011227,0.020497,31,1032
3,31,32,32,5.036999,4.784547,0.000110,0.000284,0.003700,31,1032
4,0,42,32,5.691889,4.784543,0.000160,-0.041560,-0.044848,40,1352
4,1,42,32,6.263503,4.784842,0.000246,-0.001569,-0.004592,40,1352
4,2,42,32,5.826913,4.785073,0.000239,0.053791,0.078166,40,1352
4,3,42,32,5.949891,4.784841,0.000217,0.054491,0.078644,40,1352
4,4,42,32,5.760499,4.783363,0.000201,0.029289,0.032772,40,1352
4,5,42,32,5.768704,4.783317,0.000203,0.161914,0.204316,40,1352
4,6,42,32,5.437251,4.782171,0.000182,0.238710,0.279541,40,1352
4,7,42,32,5.510539,4.780911,0.000208,0.309875,0.343056,40,1352
4,8,42,32,5.913081,4.780949,0.000203,0.081594,0.071120,40,1352
4,9,42,32,5.417405,4.779800,0.000268,0.169697,0.210127,40,1352
4,10,42,32,5.905592,4.779974,0.000646,0.137338,0.050977,40,1352
4,11,42,32,5.263688,4.780593,0.000539,0.426468,0.439211,40,1352
4,12,42,32,5.834894,4.781259,0.000440,0.110872,0.103134,40,1352
4,13,42,32,5.633815,4.781116,0.000685,0.159102,0.285969,40,1352
4,14,42,32,5.745534,4.780247,0.000522,0.174816,0.227897,40,1352
4,15,42,32,6.093981,4.780178,0.000415,-0.061869,-0.081851,40,1352
4,16,42,32,5.872077,4.779289,0.000417,0.142683,0.133772,40,1352
4,17,42,32,6.254145,4.778662,0.000338,-0.260474,-0.273623,40,1352
4,18,42,32,6.029906,4.779457,0.000371,-0.028969,-0.035675,40,1352
4,19,42,32,6.111402,4.778223,0.000310,-0.057307,-0.054593,40,1352
4,20,42,32,5.448040,4.779113,0.000344,0.549442,0.550675,40,1352
4,21,42,32,5.728199,4.779341,0.000319,0.186523,0.200771,40,1352
4,22,42,32,5.636171,4.779116,0.000348,0.365375,0.393148,40,1352
4,23,42,32,5.706055,4.780119,0.000371,0.318418,0.339319,40,1352
4,24,42,32,6.195722,4.779470,0.002202,-0.144741,-0.078128,40,1352
4,25,42,32,6.462239,4.779484,0.007965,-0.127049,0.230527,40,1352
4,26,42,32,6.175685,4.777304,0.006853,-0.036929,-0.161574,40,1352
4,27,42,32,5.626903,4.781067,0.001306,0.452418,0.463149,40,1352
4,28,42,32,5.572104,4.782540,0.000595,0.276472,-0.102608,40,1352
4,29,42,32,5.643825,4.783092,0.000473,-0.028697,-0.240057,40,1352
4,30,42,32,5.901123,4.781857,0.000726,-0.171917,-0.184814,40,1352
4,31,42,32,5.614196,4.779008,0.000740,-0.225438,-0.234880,40,1352
4,32,42,32,5.813836,4.778573,0.000617,-0.190200,-0.182783,40,1352
4,33,42,32,5.365101,4.777894,0.000752,-0.200405,0.043138,40,1352
4,34,42,32,6.071298,4.776218,0.001003,-0.492775,-0.475827,40,1352
4,35,42,32,6.347950,4.774420,0.000864,-0.342654,-0.378360,40,1352
4,36,42,32,5.590963,4.771619,0.000701,0.290842,0.347589,40,1352
4,37,42,32,5.615171,4.769361,0.000476,0.451362,0.451444,40,1352
4,38,42,32,5.356425,4.768170,0.000526,0.557110,0.557149,40,1352
4,39,42,32,5.587826,4.767561,0.001296,0.237416,0.237629,40,1352
4,40,42,32,5.660347,4.767850,0.002004,0.042263,0.041659,40,1352
4,41,42,32,5.719417,4.768226,0.001961,-0.133933,-0.019533,40,1352
5,0,51,32,6.326164,4.771027,0.003698,-0.315829,-0.342096,38,1656
5,1,51,32,6.018825,4.773158,0.002033,-0.093888,-0.091550,38,1656
5,2,51,32,6.371382,4.774441,0.001848,-0.381916,-0.364460,38,1656
5,3,51,32,6.287426,4.773076,0.002094,-0.399751,-0.431899,38,1656
5,4,51,32,6.083235,4.772003,0.000997,-0.177571,-0.176155,38,1656
5,5,51,32,6.274411,4.772638,0.001013,-0.157483,-0.164733,38,1656
5,6,51,32,6.121370,4.773478,0.001613,-0.059847,-0.039871,38,1656
5,7,51,32,6.185910,4.773690,0.000508,-0.210758,-0.206848,38,1656
5,8,51,32,7.199703,4.772324,0.000367,-1.039407,-1.030307,38,1656
5,9,51,32,6.926078,4.771560,0.000467,-0.853382,-0.888206,38,1656
5,10,51,32,6.109033,4.772704,0.000261,-0.235878,-0.230255,38,1656
5,11,51,32,5.906518,4.773013,0.000362,0.007890,0.012447,38,1656
5,12,51,32,6.214783,4.773761,0.000340,-0.206473,-0.200831,38,1656
5,13,51,32,6.306703,4.773895,0.000624,-0.345699,-0.338569,38,1656
5,14,51,32,6.441714,4.775108,0.000513,-0.310849,-0.304184,38,1656
5,15,51,32,6.426551,4.774717,0.000568,-0.283776,-0.277593,38,1656
5,16,51,32,6.401102,4.774655,0.000610,-0.267228,-0.261409,38,1656
5,17,51,32,6.413777,4.774970,0.000588,-0.380070,-0.372950,38,1656
5,18,51,32,6.348019,4.775060,0.000527,-0.272648,-0.266323,38,1656
5,19,51,32,6.498753,4.774652,0.001097,-0.506019,-0.497743,38,1656
5,20,51,32,5.922900,4.773160,0.001025,0.106428,0.109628,38,1656
5,21,51,32,6.313632,4.770692,0.000763,-0.275771,-0.269602,38,1656
5,22,51,32,6.395137,4.765796,0.000511,-0.428930,-0.421818,38,1656
5,23,51,32,6.429929,4.766078,0.000458,-0.281809,-0.275796,38,1656
5,24,51,32,6.750271,4.764621,0.000662,-0.655673,-0.647012,38,1656
5,25,51,32,5.989117,4.767257,0.001117,0.242767,0.244095,38,1656
5,26,51,32,6.133048,4.770505,0.001200,0.034567,0.036778,38,1656
5,27,51,32,6.136501,4.771894,0.000997,-0.140529,-0.137170,38,1656
5,28,51,32,6.287299,4.772776,0.000645,-0.154864,-0.151775,38,1656
5,29,51,32,6.083499,4.772673,0.000592,-0.045893,-0.043373,38,1656
5,30,51,32,5.923124,4.772519,0.000600,0.055783,0.057663,38,1656
5,31,51,32,5.749400,4.772962,0.000447,0.352924,0.353293,38,1656
5,32,51,32,5.919816,4.773660,0.000525,0.224178,0.224703,38,1656
5,33,51,32,6.389915,4.774534,0.000618,-0.297470,-0.295345,38,1656
5,34,51,32,6.493576,4.775351,0.000480,-0.259619,-0.257548,38,1656
5,35,51,32,6.297640,4.775335,0.000473,-0.223033,-0.220658,38,1656
5,36,51,32,6.025474,4.773948,0.000459,-0.015500,-0.013750,38,1656
5,37,51,32,5.852836,4.773973,0.000404,0.217950,0.218636,38,1656
5,38,51,32,5.947042,4.771850,0.000354,0.017609,0.019103,38,1656
5,39,51,32,6.628248,4.774658,0.000319,-0.429352,-0.425698,38,1656
5,40,51,32,5.839405,4.774915,0.000295,0.031906,0.033909,38,1656
5,41,51,32,5.995565,4.771616,0.000421,0.086176,0.087214,38,1656
5,42,51,32,6.037842,4.774865,0.000300,-0.090871,-0.088741,38,1656
5,43,51,32,6.316617,4.776336,0.000323,-0.308656,-0.305042,38,1656
5,44,51,32,6.037322,4.777084,0.000380,0.159873,0.160785,38,1656
5,45,51,32,5.863149,4.777921,0.000363,0.106420,0.107587,38,1656
5,46,51,32,6.145522,4.778033,0.000320,0.092097,0.092869,38,1656
5,47,51,32,5.805458,4.777885,0.000258,0.236042,0.236364,38,1656
5,48,51,32,6.465705,4.777350,0.000237,-0.515794,-0.512099,38,1656
5,49,51,32,6.241207,4.778236,0.000238,-0.092994,-0.091150,38,1656
5,50,51,32,6.533247,4.776402,0.000226,-0.289365,-0.287772,38,1656
6,0,58,32,6.114517,4.776219,0.000241,-0.188187,-0.185985,28,1880
6,1,58,32,6.125456,4.776602,0.000234,-0.023562,-0.022244,28,1880
6,2,58,32,6.817532,4.778195,0.000304,-0.627066,-0.622412,28,1880
6,3,58,32,6.510334,4.778710,0.000277,-0.316467,-0.312991,28,1880
6,4,58,32,6.370029,4.778455,0.000293,-0.330276,-0.325982,28,1880
6,5,58,32,6.177795,4.778205,0.000267,-0.226282,-0.222014,28,1880
6,6,58,32,6.274704,4.777972,0.000175,-0.224780,-0.220476,28,1880
6,7,58,32,6.385451,4.777818,0.000152,-0.563640,-0.554487,28,1880
6,8,58,32,6.420708,4.777298,0.000159,-0.368179,-0.360896,28,1880
6,9,58,32,6.578801,4.776799,0.000218,-0.446710,-0.438325,28,1880
6,10,58,32,6.118628,4.776628,0.000221,-0.255378,-0.248118,28,1880
6,11,58,32,6.499171,4.776874,0.000314,-0.399225,-0.391596,28,1880
6,12,58,32,6.160617,4.776169,0.000230,-0.374118,-0.364670,28,1880
6,13,58,32,6.206435,4.776180,0.000188,-0.209248,-0.202369,28,1880
6,14,58,32,6.408006,4.776424,0.000231,0.015858,0.018794,28,1880
6,15,58,32,6.182933,4.775976,0.000239,-0.245081,-0.238809,28,1880
6,16,58,32,6.409008,4.774981,0.000325,-0.094374,-0.090781,28,1880
6,17,58,32,5.901252,4.774835,0.000301,0.245843,0.246126,28,1880
6,18,58,32,5.802809,4.774183,0.000222,0.173359,0.174052,28,1880
6,19,58,32,6.606441,4.773766,0.000215,-0.521853,-0.516632,28,1880
6,20,58,32,6.102950,4.774219,0.000179,0.109111,0.109840,28,1880
6,21,58,32,6.659512,4.774489,0.000157,-0.523253,-0.520504,28,1880
6,22,58,32,6.365669,4.775516,0.000147,-0.326181,-0.323561,28,1880
6,23,58,32,6.074953,4.776155,0.000163,0.113907,0.114324,28,1880
6,24,58,32,6.615152,4.776922,0.000160,-0.491934,-0.488916,28,1880
6,25,58,32,6.134186,4.777859,0.000175,0.119426,0.119707,28,1880
6,26,58,32,6.678601,4.778741,0.000247,-0.237560,-0.236815,28,1880
6,27,58,32,6.516691,4.778526,0.000252,0.021348,0.021082,28,1880
6,28,58,32,6.218784,4.779651,0.000213,-0.121353,-0.121611,28,1880
6,29,58,32,6.616635,4.780456,0.000247,0.041974,0.040888,28,1880
6,30,58,32,6.494431,4.781042,0.000222,-0.130987,-0.132490,28,1880
6,31,58,32,6.320635,4.780796,0.000205,-0.085898,-0.086438,28,1880
6,32,58,32,6.152572,4.780241,0.000179,-0.075950,-0.077072,28,1880
6,33,58,32,6.990861,4.780126,0.000210,-0.367992,-0.371166,28,1880
6,34,58,32,6.300789,4.778485,0.000178,-0.108819,-0.095707,28,1880
6,35,58,32,6.735828,4.779229,0.000146,-0.204759,-0.203227,28,1880
6,36,58,32,6.382312,4.778930,0.000140,-0.181143,-0.178059,28,1880
6,37,58,32,6.207963,4.779812,0.000167,0.078952,0.084001,28,1880
6,38,58,32,6.270655,4.778697,0.000207,-0.277443,-0.255588,28,1880
6,39,58,32,6.326422,4.778629,0.000156,-0.244931,-0.257567,28,1880
6,40,58,32,6.125915,4.780345,0.000198,-0.089673,-0.100524,28,1880
6,41,58,32,6.499975,4.779566,0.000172,-0.149271,-0.147725,28,1880
6,42,58,32,6.175334,4.780078,0.000263,-0.239577,-0.224173,28,1880
6,43,58,32,6.173569,4.780987,0.000162,-0.098401,-0.125139,28,1880
6,44,58,32,5.872613,4.781621,0.000193,-0.006877,0.029643,28,1880
6,45,58,32,5.922405,4.781381,0.000129,-0.003463,0.029291,28,1880
6,46,58,32,6.388492,4.782415,0.000263,-0.403049,-0.399441,28,1880
6,47,58,32,6.047264,4.782886,0.000292,-0.117501,-0.074383,28,1880
6,48,58,32,6.021068,4.783041,0.000846,-0.158854,-0.042548,28,1880
6,49,58,32,6.041225,4.782996,0.002007,0.085786,0.067379,28,1880
6,50,58,32,5.839285,4.784920,0.001274,0.150131,0.107187,28,1880
6,51,58,32,6.268906,4.786114,0.000216,-0.202673,-0.178791,28,1880
6,52,58,32,6.089217,4.785418,0.000260,-0.246151,-0.298314,28,1880
6,53,58,32,6.116830,4.786619,0.000069,-0.250882,-0.252427,28,1880
6,54,58,32,6.267805,4.786665,0.000242,-0.082692,-0.101284,28,1880
6,55,58,32,5.941442,4.785627,0.000338,-0.242090,-0.223046,28,1880
6,56,58,32,5.943893,4.785427,0.000469,-0.099143,0.039108,28,1880
6,57,58,32,6.333844,4.784960,0.000236,-0.373550,-0.362898,28,1880
7,0,62,32,5.994447,4.784512,0.000265,-0.144889,-0.112901,39,2000
7,1,62,32,6.024061,4.785040,0.000563,-0.533739,-0.498371,39,2000
7,2,62,32,6.219013,4.784515,0.000065,-0.226191,-0.195949,39,2000
7,3,62,32,5.826609,4.785476,0.000089,0.125196,0.137524,39,2000
7,4,62,32,6.110323,4.784961,0.000284,-0.162386,-0.124308,39,2000
7,5,62,32,6.270629,4.785541,0.001591,-0.291568,-0.258629,39,2000
7,6,62,32,5.902513,4.785288,0.001312,0.146600,0.132224,39,2000
7,7,62,32,5.884966,4.786689,0.001487,-0.034531,-0.043508,39,2000
7,8,62,32,5.912979,4.787304,0.000472,-0.204366,-0.147411,39,2000
7,9,62,32,5.815245,4.786539,0.000348,-0.142547,-0.106937,39,2000
7,10,62,32,5.981404,4.787457,0.000269,-0.154010,-0.146393,39,2000
7,11,62,32,6.041048,4.787589,0.000416,-0.040760,-0.072130,39,2000
7,12,62,32,6.066932,4.786782,0.000602,0.029629,0.103013,39,2000
7,13,62,32,5.830359,4.786872,0.001117,0.165411,0.159042,39,2000
